new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
3370.0,437.0,37083.0,187327.0,25085.0,1052577.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
2646.0,464.0,95273.0,189973.0,25549.0,1147850.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
3021.0,420.0,38676.0,192994.0,25969.0,1186526.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
2357.0,415.0,24113.0,195351.0,26384.0,1210639.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
2324.0,260.0,26678.0,197675.0,26644.0,1237317.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1739.0,333.0,37554.0,199414.0,26977.0,1274871.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
2091.0,382.0,38589.0,201505.0,27359.0,1313460.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
2086.0,323.0,41441.0,203591.0,27682.0,1354901.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1872.0,285.0,43732.0,205463.0,27967.0,1398633.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1965.0,269.0,31231.0,207428.0,28236.0,1429864.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1900.0,474.0,27047.0,209328.0,28710.0,1456911.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1389.0,174.0,22999.0,210717.0,28884.0,1479910.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1221.0,195.0,32211.0,211938.0,29079.0,1512121.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1075.0,236.0,37771.0,213013.0,29315.0,1549892.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1444.0,369.0,13665.0,214457.0,29684.0,1563557.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1401.0,274.0,45428.0,215858.0,29958.0,1608985.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1327.0,243.0,36091.0,217185.0,30201.0,1645076.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1083.0,194.0,31384.0,218268.0,30395.0,1676460.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
802.0,165.0,25823.0,219070.0,30560.0,1702283.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
744.0,179.0,39620.0,219814.0,30739.0,1741903.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
1402.0,172.0,37049.0,221216.0,30911.0,1778952.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
888.0,195.0,41131.0,222104.0,31106.0,1820083.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
992.0,262.0,39027.0,223096.0,31368.0,1859110.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
789.0,242.0,40657.0,223885.0,31610.0,1899767.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
875.0,153.0,33505.0,224760.0,31763.0,1933272.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
675.0,145.0,26101.0,225435.0,31908.0,1959373.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
451.0,99.0,40226.0,225886.0,32007.0,1999599.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
813.0,162.0,38617.0,226699.0,32169.0,2038216.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
665.0,161.0,40644.0,227364.0,32330.0,2078860.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
642.0,156.0,42987.0,228006.0,32486.0,2121847.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
652.0,130.0,42579.0,228658.0,32616.0,2164426.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
669.0,119.0,34206.0,229327.0,32735.0,2198632.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
531.0,50.0,20676.0,229858.0,32785.0,2219308.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
300.0,92.0,33944.0,230158.0,32877.0,2253252.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
397.0,78.0,37299.0,230555.0,32955.0,2290551.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
584.0,117.0,39838.0,231139.0,33072.0,2330389.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
593.0,70.0,38233.0,231732.0,33142.0,2368622.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
516.0,87.0,36051.0,232248.0,33229.0,2404673.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
416.0,111.0,28948.0,232664.0,33340.0,2433621.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
355.0,75.0,18053.0,233019.0,33415.0,2451674.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
178.0,60.0,25628.0,233197.0,33475.0,2477302.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
318.0,55.0,20035.0,233515.0,33530.0,2497337.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
321.0,71.0,27451.0,233836.0,33601.0,2524788.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
177.0,88.0,40470.0,234013.0,33689.0,2565258.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
518.0,85.0,34036.0,234531.0,33774.0,2599294.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
270.0,72.0,27894.0,234801.0,33846.0,2627188.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
197.0,53.0,16301.0,234998.0,33899.0,2643489.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
280.0,65.0,32200.0,235278.0,33964.0,2675689.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
283.0,79.0,37865.0,235561.0,34043.0,2713554.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
202.0,71.0,32991.0,235763.0,34114.0,2746545.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
379.0,53.0,37651.0,236142.0,34167.0,2784196.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
163.0,56.0,32880.0,236305.0,34223.0,2817076.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
346.0,78.0,29545.0,236651.0,34301.0,2846621.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
338.0,44.0,17463.0,236989.0,34345.0,2864084.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
301.0,26.0,27762.0,237290.0,34371.0,2891846.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
210.0,34.0,33957.0,237500.0,34405.0,2925803.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
328.0,43.0,32921.0,237828.0,34448.0,2958724.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
331.0,66.0,28570.0,238159.0,34514.0,2987294.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
-148.0,47.0,29875.0,238011.0,34561.0,3017169.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
264.0,49.0,24581.0,238275.0,34610.0,3041750.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
224.0,24.0,16152.0,238499.0,34634.0,3057902.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
221.0,23.0,23225.0,238720.0,34657.0,3081127.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
113.0,18.0,30237.0,238833.0,34675.0,3111364.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
577.0,-31.0,29421.0,239410.0,34644.0,3140785.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
296.0,34.0,28331.0,239706.0,34678.0,3169116.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
255.0,30.0,29721.0,239961.0,34708.0,3198837.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
175.0,8.0,21183.0,240136.0,34716.0,3220020.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
174.0,22.0,15484.0,240310.0,34738.0,3235504.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
126.0,6.0,28471.0,240436.0,34744.0,3263975.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
142.0,23.0,29325.0,240578.0,34767.0,3293300.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
182.0,21.0,29147.0,240760.0,34788.0,3322447.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
201.0,30.0,25680.0,240961.0,34818.0,3348127.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
223.0,15.0,28946.0,241184.0,34833.0,3377073.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
235.0,21.0,21166.0,241419.0,34854.0,3398239.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
192.0,7.0,13771.0,241611.0,34861.0,3412010.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
208.0,8.0,22490.0,241819.0,34869.0,3434500.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
137.0,30.0,28679.0,241956.0,34899.0,3463179.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
193.0,15.0,29947.0,242149.0,34914.0,3493126.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
214.0,12.0,27251.0,242363.0,34926.0,3520377.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
276.0,12.0,25449.0,242639.0,34938.0,3545826.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
188.0,7.0,23061.0,242827.0,34945.0,3568887.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
234.0,9.0,14006.0,243061.0,34954.0,3582893.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
169.0,13.0,24222.0,243230.0,34967.0,3607115.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
114.0,17.0,28392.0,243344.0,34984.0,3635507.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
162.0,13.0,28089.0,243506.0,34997.0,3663596.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
230.0,20.0,28661.0,243736.0,35017.0,3692257.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
231.0,11.0,27569.0,243967.0,35028.0,3719826.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
249.0,14.0,20621.0,244216.0,35042.0,3740447.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
218.0,3.0,14121.0,244434.0,35045.0,3754568.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
190.0,13.0,23915.0,244624.0,35058.0,3778483.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
128.0,15.0,29288.0,244752.0,35073.0,3807771.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
280.0,9.0,33018.0,245032.0,35082.0,3840789.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
306.0,10.0,28970.0,245338.0,35092.0,3869759.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
252.0,5.0,28059.0,245590.0,35097.0,3897818.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
274.0,5.0,25177.0,245864.0,35102.0,3922995.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
254.0,5.0,19374.0,246118.0,35107.0,3942369.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
168.0,5.0,25341.0,246286.0,35112.0,3967710.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
202.0,11.0,30875.0,246488.0,35123.0,3998585.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
288.0,6.0,33396.0,246776.0,35129.0,4031981.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
382.0,3.0,29686.0,247158.0,35132.0,4061667.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
379.0,9.0,31905.0,247537.0,35141.0,4093572.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
295.0,5.0,24496.0,247832.0,35146.0,4118068.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
238.0,8.0,13467.0,248070.0,35154.0,4131535.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
159.0,12.0,23491.0,248229.0,35166.0,4155026.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
190.0,5.0,29739.0,248419.0,35171.0,4184765.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
384.0,10.0,32169.0,248803.0,35181.0,4216934.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
401.0,6.0,30392.0,249204.0,35187.0,4247326.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
552.0,3.0,26631.0,249756.0,35190.0,4273957.0,Italy,Europe,60461828.0,83.51,3.18,35220.084
